split,budget,method,sources,pairs,trials,detections,detection_rate,mean_paid,mean_paid_when_detected,interval_coverage,mean_wall_seconds
test,25,B1_fixed_mcnemar,4,24,480,6,0.0125,25.0,25.0,1.0,0.06100012850171576
test,25,B6_active_testing_ipw,4,24,480,1,0.0020833333333333333,24.995833333333334,23.0,1.0,0.04659923643339425
test,25,B8_seq_betting_wor,4,24,480,0,0.0,25.0,,1.0,0.07183958608657122
test,25,B8_seq_mcnemar_bonf5,4,24,480,1,0.0020833333333333333,24.989583333333332,20.0,1.0,0.057998105060930054
test,25,IPW_uniform,4,24,480,0,0.0,24.98125,,1.0,0.049444005778059366
test,25,OURS2_paired_shift_ipw,4,24,480,3,0.00625,24.972916666666666,20.666666666666668,1.0,0.040778122710374495
test,50,B1_fixed_mcnemar,4,24,480,20,0.041666666666666664,50.0,50.0,0.9979166666666667,0.08139563555208346
test,50,B6_active_testing_ipw,4,24,480,2,0.004166666666666667,49.925,32.0,1.0,0.0847013232919077
test,50,B8_seq_betting_wor,4,24,480,1,0.0020833333333333333,49.989583333333336,45.0,0.9979166666666667,0.11048742775650074
test,50,B8_seq_mcnemar_bonf5,4,24,480,3,0.00625,49.916666666666664,36.666666666666664,1.0,0.0882987753720954
test,50,IPW_uniform,4,24,480,2,0.004166666666666667,49.84375,43.5,0.9958333333333333,0.10253514825211217
test,50,OURS2_paired_shift_ipw,4,24,480,3,0.00625,49.81666666666667,20.666666666666668,1.0,0.06985774375498295
test,100,B1_fixed_mcnemar,4,24,480,39,0.08125,100.0,100.0,0.9895833333333334,0.133137216581963
test,100,B6_active_testing_ipw,4,24,480,18,0.0375,99.06041666666667,74.94444444444444,1.0,0.20903016010609765
test,100,B8_seq_betting_wor,4,24,480,19,0.03958333333333333,98.97916666666667,74.21052631578948,0.9916666666666667,0.19007288382854312
test,100,B8_seq_mcnemar_bonf5,4,24,480,13,0.027083333333333334,99.20833333333333,70.76923076923077,1.0,0.14572227546789993
test,100,IPW_uniform,4,24,480,22,0.04583333333333333,98.33958333333334,75.0909090909091,0.9895833333333334,0.16192929404011616
test,100,OURS2_paired_shift_ipw,4,24,480,14,0.029166666666666667,99.10416666666667,69.28571428571429,1.0,0.15624193836313982
test,200,B1_fixed_mcnemar,4,24,480,82,0.17083333333333334,200.0,200.0,0.96875,0.27307525991927833
test,200,B6_active_testing_ipw,4,24,480,67,0.13958333333333334,191.84166666666667,141.55223880597015,0.99375,0.4192083942471072
test,200,B8_seq_betting_wor,4,24,480,56,0.11666666666666667,190.875,135.71428571428572,0.9833333333333333,0.3340202369649584
test,200,B8_seq_mcnemar_bonf5,4,24,480,42,0.0875,194.83333333333334,140.95238095238096,1.0,0.2656119602266699
test,200,IPW_uniform,4,24,480,58,0.12083333333333333,187.825,124.86206896551724,0.9833333333333333,0.335558339037622
test,200,OURS2_paired_shift_ipw,4,24,480,68,0.14166666666666666,191.21041666666667,139.35294117647058,1.0,0.2672594431787729
test,500,B1_fixed_mcnemar,4,24,480,193,0.40208333333333335,500.0,500.0,0.9541666666666667,0.6032131393595288
test,500,B6_active_testing_ipw,4,24,480,213,0.44375,401.125,285.32394366197184,0.99375,0.9088406875962391
test,500,B8_seq_betting_wor,4,24,480,162,0.3375,418.125,326.5432098765432,0.9770833333333333,0.6162266968206193
test,500,B8_seq_mcnemar_bonf5,4,24,480,127,0.26458333333333334,456.25,344.09448818897636,0.9958333333333333,0.5946037878359979
test,500,IPW_uniform,4,24,480,157,0.32708333333333334,405.70625,288.9872611464968,0.975,0.7798271661779533
test,500,OURS2_paired_shift_ipw,4,24,480,205,0.4270833333333333,403.43541666666664,289.6780487804878,0.9979166666666667,0.5867685991184165
test_transfer,25,B1_fixed_mcnemar,1,11,220,9,0.04090909090909091,25.0,25.0,1.0,0.06329739041287791
test_transfer,25,B6_active_testing_ipw,1,11,220,6,0.02727272727272727,24.84090909090909,19.166666666666668,1.0,0.042334187809716574
test_transfer,25,B8_seq_betting_wor,1,11,220,1,0.004545454545454545,25.0,25.0,1.0,0.06065302878956903
test_transfer,25,B8_seq_mcnemar_bonf5,1,11,220,3,0.013636363636363636,24.977272727272727,23.333333333333332,1.0,0.07029703333973884
test_transfer,25,IPW_uniform,1,11,220,0,0.0,25.0,,1.0,0.04971379415894096
test_transfer,25,OURS2_paired_shift_ipw,1,11,220,5,0.022727272727272728,24.963636363636365,23.4,1.0,0.03891441911797632
test_transfer,50,B1_fixed_mcnemar,1,11,220,36,0.16363636363636364,50.0,50.0,0.9954545454545455,0.10585104841738939
test_transfer,50,B6_active_testing_ipw,1,11,220,27,0.12272727272727273,48.095454545454544,34.48148148148148,1.0,0.071720594861968
test_transfer,50,B8_seq_betting_wor,1,11,220,10,0.045454545454545456,49.45454545454545,38.0,0.9954545454545455,0.12269959592006423
test_transfer,50,B8_seq_mcnemar_bonf5,1,11,220,18,0.08181818181818182,49.31818181818182,41.666666666666664,1.0,0.13435932452028448
test_transfer,50,IPW_uniform,1,11,220,11,0.05,49.663636363636364,43.27272727272727,0.9954545454545455,0.07271861330690708
test_transfer,50,OURS2_paired_shift_ipw,1,11,220,14,0.06363636363636363,49.00454545454546,34.357142857142854,1.0,0.07186192267320372
test_transfer,100,B1_fixed_mcnemar,1,11,220,64,0.2909090909090909,100.0,100.0,0.990909090909091,0.16364768438718535
test_transfer,100,B6_active_testing_ipw,1,11,220,54,0.24545454545454545,89.0409090909091,55.351851851851855,0.9954545454545455,0.1296192205087705
test_transfer,100,B8_seq_betting_wor,1,11,220,46,0.20909090909090908,93.13636363636364,67.17391304347827,0.990909090909091,0.21908779272978957
test_transfer,100,B8_seq_mcnemar_bonf5,1,11,220,45,0.20454545454545456,93.63636363636364,68.88888888888889,1.0,0.2078057600523938
test_transfer,100,IPW_uniform,1,11,220,49,0.22272727272727272,92.17727272727272,65.51020408163265,0.9818181818181818,0.13279113578186794
test_transfer,100,OURS2_paired_shift_ipw,1,11,220,50,0.22727272727272727,91.42727272727272,62.28,1.0,0.13180742163888431
test_transfer,200,B1_fixed_mcnemar,1,11,220,67,0.30454545454545456,200.0,200.0,0.9772727272727273,0.2944638017226349
test_transfer,200,B6_active_testing_ipw,1,11,220,61,0.2772727272727273,164.57272727272726,73.75409836065573,0.9954545454545455,0.24102315181358294
test_transfer,200,B8_seq_betting_wor,1,11,220,64,0.2909090909090909,165.72727272727272,93.4375,0.9818181818181818,0.2809626984663985
test_transfer,200,B8_seq_mcnemar_bonf5,1,11,220,65,0.29545454545454547,171.0909090909091,102.15384615384616,1.0,0.3109220684421333
test_transfer,200,IPW_uniform,1,11,220,63,0.2863636363636364,161.99545454545455,85.80952380952381,0.9772727272727273,0.23579483734951778
test_transfer,200,OURS2_paired_shift_ipw,1,11,220,59,0.2681818181818182,166.9318181818182,77.11864406779661,0.9954545454545455,0.2975666445595297
test_transfer,500,B1_fixed_mcnemar,1,11,220,65,0.29545454545454547,500.0,500.0,0.9772727272727273,0.8227322790602392
test_transfer,500,B6_active_testing_ipw,1,11,220,62,0.2818181818181818,350.6454545454545,100.2741935483871,0.9954545454545455,0.6817219563336535
test_transfer,500,B8_seq_betting_wor,1,11,220,67,0.30454545454545456,340.22727272727275,147.01492537313433,0.9863636363636363,0.48827762717211787
test_transfer,500,B8_seq_mcnemar_bonf5,1,11,220,66,0.3,385.0,145.45454545454547,1.0,0.6276798774742267
test_transfer,500,IPW_uniform,1,11,220,65,0.29545454545454547,325.1363636363636,121.47692307692307,0.9818181818181818,0.49121587628668006
test_transfer,500,OURS2_paired_shift_ipw,1,11,220,63,0.2863636363636364,352.02272727272725,107.77777777777777,0.9954545454545455,0.539056133495813
