pair,budget,method,true_pool_delta,trials,confirmed_regressions,mean_paid_calls
magic:v01->v02,200,B1_fixed_mcnemar,-0.0887,20,0,200.0
magic:v01->v02,200,B8_seq_betting_wor,-0.0887,20,0,103.0
magic:v01->v02,200,IPW_uniform,-0.0887,20,0,99.85
magic:v01->v02,200,OURS2_paired_shift_ipw,-0.0887,20,0,115.15
magic:v01->v02,500,B1_fixed_mcnemar,-0.0887,20,0,500.0
magic:v01->v02,500,B8_seq_betting_wor,-0.0887,20,0,135.0
magic:v01->v02,500,IPW_uniform,-0.0887,20,0,133.35
magic:v01->v02,500,OURS2_paired_shift_ipw,-0.0887,20,0,115.3
magic:v02->v03,200,B1_fixed_mcnemar,0.0183,20,3,200.0
magic:v02->v03,200,B8_seq_betting_wor,0.0183,20,1,200.0
magic:v02->v03,200,IPW_uniform,0.0183,20,3,194.35
magic:v02->v03,200,OURS2_paired_shift_ipw,0.0183,20,0,200.0
magic:v02->v03,500,B1_fixed_mcnemar,0.0183,20,7,500.0
magic:v02->v03,500,B8_seq_betting_wor,0.0183,20,4,450.0
magic:v02->v03,500,IPW_uniform,0.0183,20,11,385.85
magic:v02->v03,500,OURS2_paired_shift_ipw,0.0183,20,10,451.1
magic:v02->v04,200,B1_fixed_mcnemar,0.009,20,3,200.0
magic:v02->v04,200,B8_seq_betting_wor,0.009,20,0,200.0
magic:v02->v04,200,IPW_uniform,0.009,20,0,200.0
magic:v02->v04,200,OURS2_paired_shift_ipw,0.009,20,0,200.0
magic:v02->v04,500,B1_fixed_mcnemar,0.009,20,5,500.0
magic:v02->v04,500,B8_seq_betting_wor,0.009,20,4,472.5
magic:v02->v04,500,IPW_uniform,0.009,20,1,495.45
magic:v02->v04,500,OURS2_paired_shift_ipw,0.009,20,3,480.75
