split,budget,method,sources,pairs,trials,false_alarms,rate,mc_binomial_lo,mc_binomial_hi,coverage,mean_paid
test,200,B8_seq_betting_wor,3,27,5400,63,0.011666666666666667,0.008976310859364001,0.014902361483285186,0.9716666666666667,177.42222222222222
test,200,B8_seq_mcnemar_bonf5,3,10,2000,7,0.0035,0.0014083038325025412,0.007197961714658002,0.996,164.16
test,200,OURS2_paired_shift_ipw,3,27,5400,15,0.002777777777777778,0.0015555088067307455,0.004577389875851593,0.9938888888888889,178.43425925925925
test,1000,B8_seq_betting_wor,3,27,5400,112,0.02074074074074074,0.017107752050498082,0.02490370232767978,0.9592592592592593,739.6296296296297
test,1000,B8_seq_mcnemar_bonf5,3,10,2000,5,0.0025,0.0008122259751939095,0.005824445334518517,0.994,569.2
test,1000,OURS2_paired_shift_ipw,3,27,5400,74,0.013703703703703704,0.010775260775408016,0.01717357331347571,0.9748148148148148,666.1401851851851
test_transfer,200,B8_seq_betting_wor,1,27,5400,50,0.009259259259259259,0.006879989872969226,0.012189163772669223,0.9838888888888889,192.53333333333333
test_transfer,200,B8_seq_mcnemar_bonf5,1,16,3200,11,0.0034375,0.0017171981935621913,0.00614229419590835,0.999375,199.2625
test_transfer,200,OURS2_paired_shift_ipw,1,27,5400,10,0.001851851851851852,0.0008883809266907882,0.0034029759559083333,0.9942592592592593,195.72814814814814
test_transfer,1000,B8_seq_betting_wor,1,27,5400,114,0.021111111111111112,0.017444844835446893,0.025306802052064273,0.9644444444444444,668.7407407407408
test_transfer,1000,B8_seq_mcnemar_bonf5,1,16,3200,12,0.00375,0.0019391349600396733,0.006541323608100495,0.995,762.1875
test_transfer,1000,OURS2_paired_shift_ipw,1,27,5400,89,0.016481481481481482,0.013256343521560032,0.020243235799918678,0.9716666666666667,525.2931481481481
