split,budget,method,sources,pairs,trials,false_alarms,rate,mc_binomial_lo,mc_binomial_hi,coverage,mean_paid
test,200,B8_seq_betting_wor,4,36,7200,78,0.010833333333333334,0.008572457374265941,0.013502293026797263,0.9697222222222223,180.95277777777778
test,200,B8_seq_mcnemar_bonf5,4,12,2400,7,0.002916666666666667,0.0011734304640156703,0.006000158521295955,0.9958333333333333,168.96666666666667
test,200,OURS2_paired_shift_ipw,4,36,7200,5,0.0006944444444444445,0.00022552144450508453,0.0016198513260943332,0.9988888888888889,187.49194444444444
test,1000,B8_seq_betting_wor,4,36,7200,169,0.02347222222222222,0.020099736459726465,0.02723772382130355,0.9552777777777778,744.1666666666666
test,1000,B8_seq_mcnemar_bonf5,4,12,2400,5,0.0020833333333333333,0.0006767878685480703,0.0048550539264288544,0.9920833333333333,578.9166666666666
test,1000,OURS2_paired_shift_ipw,4,36,7200,71,0.00986111111111111,0.007709415722045501,0.012422396367509615,0.9830555555555556,699.5986111111112
test_transfer,200,B8_seq_betting_wor,1,27,5400,50,0.009259259259259259,0.006879989872969226,0.012189163772669223,0.9838888888888889,192.53333333333333
test_transfer,200,B8_seq_mcnemar_bonf5,1,16,3200,11,0.0034375,0.0017171981935621913,0.00614229419590835,0.999375,199.2625
test_transfer,200,OURS2_paired_shift_ipw,1,27,5400,2,0.00037037037037037035,4.4856717708865746e-05,0.001337258045230314,0.997037037037037,199.31277777777777
test_transfer,1000,B8_seq_betting_wor,1,27,5400,114,0.021111111111111112,0.017444844835446893,0.025306802052064273,0.9644444444444444,668.7407407407408
test_transfer,1000,B8_seq_mcnemar_bonf5,1,16,3200,12,0.00375,0.0019391349600396733,0.006541323608100495,0.995,762.1875
test_transfer,1000,OURS2_paired_shift_ipw,1,27,5400,54,0.01,0.007520985489807795,0.013027919368119025,0.9805555555555555,541.9348148148148
