split,budget,method,sources,episode_specs,trials,confirmed_targets,target_detection_rate,mean_paid,false_slice_confirmations
test,300,diversity,3,18,360,147,0.4083333333333333,285.7083333333333,0
test,300,historical_cohort,3,18,360,164,0.45555555555555555,282.60277777777776,0
test,300,old_uncertainty,3,18,360,166,0.46111111111111114,282.4166666666667,0
test,300,paired_shift,3,18,360,172,0.4777777777777778,287.0833333333333,0
test,300,stratified,3,18,360,184,0.5111111111111111,283.3333333333333,0
test,300,uniform,3,18,360,188,0.5222222222222223,283.56666666666666,0
test,300,uniform_tuned_split,3,18,360,171,0.475,257.34722222222223,0
test,600,diversity,3,18,360,225,0.625,544.1083333333333,0
test,600,historical_cohort,3,18,360,223,0.6194444444444445,546.5611111111111,0
test,600,old_uncertainty,3,18,360,234,0.65,542.8305555555555,0
test,600,paired_shift,3,18,360,257,0.7138888888888889,548.1777777777778,0
test,600,stratified,3,18,360,271,0.7527777777777778,535.8194444444445,0
test,600,uniform,3,18,360,263,0.7305555555555555,538.4527777777778,0
test,600,uniform_tuned_split,3,18,360,261,0.725,498.50555555555553,0
test,1000,diversity,3,18,360,260,0.7222222222222222,850.8388888888888,0
test,1000,historical_cohort,3,18,360,257,0.7138888888888889,858.5555555555555,0
test,1000,old_uncertainty,3,18,360,271,0.7527777777777778,859.8861111111111,0
test,1000,paired_shift,3,18,360,304,0.8444444444444444,878.8888888888889,0
test,1000,stratified,3,18,360,311,0.8638888888888889,858.2555555555556,0
test,1000,uniform,3,18,360,311,0.8638888888888889,858.875,0
test,1000,uniform_tuned_split,3,18,360,293,0.8138888888888889,771.2055555555555,0
test_transfer,300,diversity,1,6,120,93,0.775,251.75,0
test_transfer,300,historical_cohort,1,6,120,95,0.7916666666666666,253.25,0
test_transfer,300,old_uncertainty,1,6,120,103,0.8583333333333333,256.5,0
test_transfer,300,paired_shift,1,6,120,80,0.6666666666666666,245.75,0
test_transfer,300,stratified,1,6,120,110,0.9166666666666666,260.75,0
test_transfer,300,uniform,1,6,120,100,0.8333333333333334,254.0,0
test_transfer,300,uniform_tuned_split,1,6,120,72,0.6,212.33333333333334,0
test_transfer,600,diversity,1,6,120,110,0.9166666666666666,484.5,0
test_transfer,600,historical_cohort,1,6,120,108,0.9,483.0,0
test_transfer,600,old_uncertainty,1,6,120,112,0.9333333333333333,485.5,0
test_transfer,600,paired_shift,1,6,120,104,0.8666666666666667,480.5,0
test_transfer,600,stratified,1,6,120,118,0.9833333333333333,489.5,0
test_transfer,600,uniform,1,6,120,116,0.9666666666666667,488.0,0
test_transfer,600,uniform_tuned_split,1,6,120,102,0.85,417.2083333333333,0
test_transfer,1000,diversity,1,6,120,116,0.9666666666666667,755.3,0
test_transfer,1000,historical_cohort,1,6,120,113,0.9416666666666667,753.7666666666667,0
test_transfer,1000,old_uncertainty,1,6,120,119,0.9916666666666667,757.05,0
test_transfer,1000,paired_shift,1,6,120,117,0.975,755.9833333333333,0
test_transfer,1000,stratified,1,6,120,120,1.0,758.1833333333333,0
test_transfer,1000,uniform,1,6,120,120,1.0,758.1833333333333,0
test_transfer,1000,uniform_tuned_split,1,6,120,115,0.9583333333333334,629.6333333333333,0
