split,budget,method,sources,episode_specs,trials,confirmed_targets,target_detection_rate,mean_paid,false_slice_confirmations
test,300,diversity,4,24,480,194,0.4041666666666667,286.5520833333333,0
test,300,historical_cohort,4,24,480,211,0.4395833333333333,284.35,0
test,300,old_uncertainty,4,24,480,213,0.44375,284.1145833333333,0
test,300,paired_shift,4,24,480,217,0.45208333333333334,286.45625,0
test,300,stratified,4,24,480,239,0.4979166666666667,282.90833333333336,0
test,300,uniform,4,24,480,239,0.4979166666666667,282.7916666666667,0
test,300,uniform_tuned_split,4,24,480,239,0.4979166666666667,282.7916666666667,0
test,600,diversity,4,24,480,301,0.6270833333333333,545.74375,0
test,600,historical_cohort,4,24,480,296,0.6166666666666667,539.93125,0
test,600,old_uncertainty,4,24,480,306,0.6375,539.2458333333333,0
test,600,paired_shift,4,24,480,344,0.7166666666666667,549.5875,0
test,600,stratified,4,24,480,347,0.7229166666666667,533.6875,0
test,600,uniform,4,24,480,343,0.7145833333333333,540.1333333333333,0
test,600,uniform_tuned_split,4,24,480,343,0.7145833333333333,540.1333333333333,0
test,1000,diversity,4,24,480,344,0.7166666666666667,848.2958333333333,0
test,1000,historical_cohort,4,24,480,325,0.6770833333333334,842.40625,0
test,1000,old_uncertainty,4,24,480,347,0.7229166666666667,846.15625,0
test,1000,paired_shift,4,24,480,394,0.8208333333333333,877.65625,0
test,1000,stratified,4,24,480,410,0.8541666666666666,850.3375,0
test,1000,uniform,4,24,480,402,0.8375,850.1583333333333,0
test,1000,uniform_tuned_split,4,24,480,402,0.8375,850.1583333333333,0
test_transfer,300,diversity,1,6,120,93,0.775,251.75,0
test_transfer,300,historical_cohort,1,6,120,95,0.7916666666666666,253.25,0
test_transfer,300,old_uncertainty,1,6,120,103,0.8583333333333333,256.5,0
test_transfer,300,paired_shift,1,6,120,90,0.75,250.0,0
test_transfer,300,stratified,1,6,120,110,0.9166666666666666,260.75,0
test_transfer,300,uniform,1,6,120,100,0.8333333333333334,254.0,0
test_transfer,300,uniform_tuned_split,1,6,120,100,0.8333333333333334,254.0,0
test_transfer,600,diversity,1,6,120,110,0.9166666666666666,484.5,0
test_transfer,600,historical_cohort,1,6,120,108,0.9,483.0,0
test_transfer,600,old_uncertainty,1,6,120,112,0.9333333333333333,485.5,0
test_transfer,600,paired_shift,1,6,120,110,0.9166666666666666,483.5,0
test_transfer,600,stratified,1,6,120,118,0.9833333333333333,489.5,0
test_transfer,600,uniform,1,6,120,116,0.9666666666666667,488.0,0
test_transfer,600,uniform_tuned_split,1,6,120,116,0.9666666666666667,488.0,0
test_transfer,1000,diversity,1,6,120,116,0.9666666666666667,755.3,0
test_transfer,1000,historical_cohort,1,6,120,113,0.9416666666666667,753.7666666666667,0
test_transfer,1000,old_uncertainty,1,6,120,119,0.9916666666666667,757.05,0
test_transfer,1000,paired_shift,1,6,120,115,0.9583333333333334,753.7666666666667,0
test_transfer,1000,stratified,1,6,120,120,1.0,758.1833333333333,0
test_transfer,1000,uniform,1,6,120,120,1.0,758.1833333333333,0
test_transfer,1000,uniform_tuned_split,1,6,120,120,1.0,758.1833333333333,0
